,vertex_PATIENT_RunAvgLogRT,Anod_CONTROL_RunAvgLogRT,sham_CONTROL_RunAvgLogRT,cath_CONTROL_RunAvgLogRT,Anod_PATIENT_RunAvgLogRT,sham_PATIENT_RunAvgLogRT,cath_PATIENT_RunAvgLogRT,vertex_CONTROL_RunAvgLogRT
0,-0.0229023836426664,-0.0373708340873764,-0.0054415749815507,-0.020735555398595,0.0018381369824115,0.0200314467481322,0.0094455092091374,-0.0473695706561412
1,-0.0269311332804841,-0.0748530401097119,-0.049348485384556,-0.0639052232612113,-0.0032053040432834,-0.004448183534955,-0.0255318369888467,-0.0775636922190255
2,-0.0446299858293549,-0.0848310215847256,-0.0701733662961299,-0.0972783324908606,-0.0079255280541188,-0.0015923254939433,-0.0442067711981098,-0.0819490067664118
3,-0.0571690287809344,-0.1106743528285264,-0.0930902069969337,-0.1208889908850362,-0.0175381485427175,-0.0151622757506638,-0.0553385690987749,-0.1133984628166799
4,-0.0594235328741801,-0.1119674144379619,-0.1074261740354699,-0.1347766157310966,-0.0221644600271315,-0.0210352203047906,-0.05904719654858,-0.1209422275495931
5,-0.0650658421352534,-0.1226519839206092,-0.1037609375110595,-0.1402523482956362,-0.0331015922688475,-0.0281065613202285,-0.0682322577679458,-0.1291265349769708
6,-0.0719492514510864,-0.1229283992562657,-0.1133122106868895,-0.1491558267555547,-0.0500298938938988,-0.0233256170934397,-0.0645479218458763,-0.1393622905078645
7,-0.0718528400259633,-0.1248616594364213,-0.1291540435891299,-0.1602231367690899,-0.0530674590466426,-0.0283062586013988,-0.0769582853717256,-0.1246443028608758
8,-0.0641249624339635,-0.1181463022706858,-0.0747777549230424,-0.1306458925581601,-0.0471124650348217,-0.0206788067285625,-0.0609746924273779,-0.1158301747338378
9,-0.0803473656119596,-0.1366579180105248,-0.0973221862542073,-0.1528101263270476,-0.0744222386876556,-0.0370661726883042,-0.0844068369256825,-0.146518290397494
10,-0.0905922954048622,-0.1219399805547213,-0.0985140587186418,-0.1504006904958986,-0.0848932518976282,-0.0453923802571796,-0.0879087104906483,-0.1470767098425451
11,-0.0883198728551991,-0.1677669647604603,-0.1351181894952796,-0.2159043865312587,-0.0817687942584656,-0.0566423999291103,-0.1196865220411983,-0.180257978711804
12,-0.0971374802266378,-0.1935577516500031,-0.172103822543117,-0.233331642824172,-0.0895034003549499,-0.062907237408926,-0.1262151140514658,-0.1698852277991183
13,-0.1034847354136079,-0.1821478120949548,-0.1587659734035673,-0.2009990612769024,-0.0793073801032437,-0.0825682100953557,-0.1289064421994996,-0.1906614648018476
14,-0.1101324536047831,-0.1881053910549781,-0.1910160162604052,-0.2092585459351928,-0.0968476825312384,-0.062572719883797,-0.1304818426463682,-0.2045579652490013
15,-0.1222229647026593,-0.1858626185169365,-0.1832743110636677,-0.20781271394395,-0.0847281296770498,-0.0853397416249482,-0.1330598932446635,-0.1830156142901051
16,-0.1267841678761151,-0.1918158048810132,-0.1774741009755868,-0.2296853726171956,-0.1020122376462435,-0.0928413749025242,-0.1143380818812284,-0.1908209215429075
17,-0.130955274495454,-0.2025355187006058,-0.1968838231064148,-0.2199158967761891,-0.1170536845667163,-0.0942003817547452,-0.1276842683438295,-0.1948072163710477
18,-0.1085992424376641,-0.1752593978969244,-0.1722511619589012,-0.2003961389012239,-0.0848076833706292,-0.0661590690788038,-0.1127080731707861,-0.1620227752540116
19,-0.0930148048937888,-0.1751102264577786,-0.1781032242242397,-0.2438137945756669,-0.1078103667950775,-0.0831280963693444,-0.1144319698337072,-0.1868281217846028
20,-0.0977284374870941,-0.1955975607378504,-0.1763224978545752,-0.1969882333284194,-0.0520602177919,-0.0321629263898014,-0.0934408615938443,-0.1790747959434356
21,-0.1072137057599024,-0.2295523051022777,-0.2311441128559062,-0.264223957578037,-0.0879703018119893,-0.0576984737699476,-0.1095664699643279,-0.2283546280404509
22,-0.1454993686211653,-0.249019486733993,-0.2457820698692533,-0.2743857623806143,-0.1104622674057457,-0.0652453466345209,-0.1314101835650928,-0.2349358769340497
23,-0.1354537863460027,-0.2502758798942088,-0.2402497268814443,-0.2723630581476983,-0.1150257111768444,-0.0876709915329531,-0.1372346128960417,-0.2435059178579079
24,-0.1392008301090986,-0.259628208637487,-0.2326735464329198,-0.2780644119102683,-0.115677261896349,-0.0955127505550006,-0.1305932126896308,-0.2231236778652311
25,-0.1118223089469881,-0.2521034782623669,-0.2365538399409721,-0.2854485545988861,-0.1115283189458504,-0.0903108021142787,-0.1335779009956345,-0.2309810828444608
26,-0.10529983027197,-0.25390708453322,-0.2353661278028825,-0.2762315852783605,-0.1248354872705594,-0.0966418326730085,-0.1291027391709047,-0.2009024130743187
27,-0.1261733220808214,-0.2521759671245145,-0.2426008411141228,-0.2765866584132351,-0.1105659909058782,-0.1023869739328395,-0.1256721908304813,-0.2185161741908412
28,-0.0800897008403771,-0.2182512407381108,-0.2019766958334052,-0.2263246437035151,-0.1094295533362126,-0.0869989577764885,-0.0901797637174416,-0.1952122864367926
29,-0.1286054554426277,-0.2365602439086451,-0.2142365077941236,-0.2663126192589739,-0.0895302544800506,-0.0895107843227421,-0.1171166205467188,-0.231132653318019
